GENUS,SPECIES,MORPHOLOGY,MORPHOLOGY_CODE,METHOD,EXTENSION_CM_YR_RANGE,EXTENSION_CM_YR_MEAN,EXTENSION_CM_YR_SE,EXTENSION_STUDY_N,DENSITY_G_CM3_RANGE,DENSITY_G_CM3_MEDIAN/MEAN,DENSITY_G_CM3_SE,DENSITY_STUDY_N,REEF_ZONE,DEPTH_M,STUDY_REGION,STUDY_SITE,REGION_OCEAN,YEAR,REFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,humilis,digitate,BRSL,external growth bands; expansion,1.6-2.8,2.370,0.57,,,,,4,lagoon,,Pacific Remote Islands,Johnston Atoll,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,humilis,digitate,BRSL,diameter,,1.435,0.217,,,,,38,lagoon,2-3,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1985,"Stimson, J. (1985). The Effect of Shading by the Table Coral Acropora Hyacinthus on Understory Corals. Ecology, 66(1), 40–53. https://doi.org/10.2307/1941305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,humilis,digitate,BRSL,external growth bands; expansion,0.9-1.7,1.320,,2,,,,,,,Taiwan,Orchid Island,Southeast Asia,1958,"Ma TYH (1958) The relation of growth rate of reef corals to surface temperature of sea water as a basis for study of causes of disastrophisms instigating evolution of life. World Book Co, LTD, Taipei, Taiwan. IN Jokiel and Tyler (1992)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,cerealis,corymbose,BRSL,diameter,,2.145,0.514,,,,,68,lagoon,2-3,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1985,"Stimson, J. (1985). The Effect of Shading by the Table Coral Acropora Hyacinthus on Understory Corals. Ecology, 66(1), 40–53. https://doi.org/10.2307/1941305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,nasuta,corymbose,BRSL,diameter,,1.959,0.392,,,,,104,lagoon,2-3,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1985,"Stimson, J. (1985). The Effect of Shading by the Table Coral Acropora Hyacinthus on Understory Corals. Ecology, 66(1), 40–53. https://doi.org/10.2307/1941305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,valida,corymbose,BRSL,X-radiography,2.7-6.1,4.500,0.91,,,,,24,lagoon,,Pacific Remote Islands,Johnston Atoll,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,valida,corymbose,BRSL,buoyant weight; parafin wax,,,,,,1.680,0.36,4,leeward lagoon,5-10,Australia,One Tree Island,Great Barrier Reef,1998,"Bucher, D. J., Harriott, V. J., & Roberts, L. G. (1998). Skeletal micro-density, porosity and bulk density of acroporid corals. Journal of Experimental Marine Biology and Ecology, 228(1), 117–136. https://doi.org/10.1016/S0022-0981(98)00020-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,echinata,hispidose,BRSL,Alizarin Red stain,,2.400,1.056,5,,,,,,,Guam,Atra bay,Western Pacific,1987,"Plucer-Rosario G, Randall R (1987) Preservation of rare coral species by transplantation and examination of their recruitment and growth. Bull Mar Sci 41: 585–593. Available: http://www.ingentaconnect.com/content/umrsmas/bullmar/1987/00000041/00000002/art00043. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,longicyathus,hispidose,BRSL,buoyant weight; parafin wax,,,,,,1.270,0.03,3,leeward lagoon,5-10,Australia,One Tree Island,Great Barrier Reef,1998,"Bucher, D. J., Harriott, V. J., & Roberts, L. G. (1998). Skeletal micro-density, porosity and bulk density of acroporid corals. Journal of Experimental Marine Biology and Ecology, 228(1), 117–136. https://doi.org/10.1016/S0022-0981(98)00020-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,spp,branching-slow,BRSL,vertical increase,,3.000,,,,,,,,,Samoa,Samoa,South Pacific,1924,"Mayor, A. (1924). Growth Rate of Samoan Corals. Carnegie Institute of Washington Publications, 340, 51–72.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astreopora,myriopthalma,mounding,MD,X-radiography,0.5-1.3,0.858,0.399,,,,,3,Fringing reef,7-30,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyphastrea,ocellina,encrusting-mounding,EM,Alizarin red stain,,0.415,0.033,,,,,25,Reef flat,,Hawaii,"Kaneohe Bay, Oahu",Central Pacific,1990,"Romano, S. L. (1990). Long-term effects of interspecific aggression on growth of the reef-building corals Cyphastrea ocellina (Dana) and Pocillopora damicomis (Linnaeus). Journal of Experimental Marine Biology and Ecology, 140(1), 135–146. https://doi.org/10.1016/0022-0981(90)90087-S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyphastrea,ocellina,encrusting-mounding,EM,vertical increase,,0.200,,,,,,1,,,Hawaii,"Waikiki Reef, Oahu",Central Pacific,1929,"Edmondson, C.H. (1929). Growth of Hawaiian corals. Bishop Museum Bulletins 58, 1–38.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyphastrea,agassizi,mounding,MD,linear extension,,0.280,,,,,,2,,,Hawaii,"Waikiki Reef, Oahu",Central Pacific ,1929,"Edmondson, C.H. (1929). Growth of Hawaiian corals. Bishop Museum Bulletins 58, 1–38.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploastrea,heliopora,mounding,MD,X-radiography,0.21-0.34,0.270,,,,1.800,,,lagoon,3,New Caledonia,New Caledonia ,Western Pacific,2003,"Watanabe, T., Gagan, M. K., Corrége, T., Scott-Gagan, H., Cowley, J., & Hantoro, W. S. (2003). Oxygen isotope systematics in Diploastrea heliopora: New coral archive of tropical paleoclimate. Geochimica et Cosmochimica Acta, 67(7), 1349–1358. https://doi.org/10.1016/S0016-7037(02)01221-8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Favia ,stelligera,columnar,CO,external growth bands; expansion,,1.000,0.2,2,,,,,fringing reef,6.5-8,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Favia ,pallida,mounding,MD,X-radiography,0.41-0.71,0.570,,,,1.430,,21,lagoon,2-30,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1979,"Highsmith, R. C. (1979). Coral growth rates and environmental control of density banding. Journal of Experimental Marine Biology and Ecology, 37(2), 105–125. https://doi.org/10.1016/0022-0981(79)90089-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Favia ,pallida,mounding,MD,linear extension,0.5 - 0.7,0.600,,,,,,,,,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1999,"Harriott, V. (1999). Coral growth in subtropical eastern Australia. Coral Reefs 18, 281–291. https://doi.org/10.1007/s003380050195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Favia ,speciosa,mounding,MD,external growth bands; expansion,,0.625,0.115,,,,,12,fringing reef,5-19,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Favia ,speciosa,mounding,MD,external growth bands; expansion,,0.460,0.02,,,,,,reef flat,2-5,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1972,"Knutson, D.W., Buddemeier, R.W. & Smith, S.V. (1972). Coral chronometers: seasonal growth bands in reef corals. Science 177, 270–272.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Favia ,speciosa,mounding,MD,linear extension,0.56 - 0.85,0.705,,,,,,,,,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1999,"Harriott, V. (1999). Coral growth in subtropical eastern Australia. Coral Reefs 18, 281–291. https://doi.org/10.1007/s003380050195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Favia ,speciosa,mounding,MD,linear extension,0.8 - 1.2 ,1.000,,,,,,,,,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1999,"Harriott, V. (1999). Coral growth in subtropical eastern Australia. Coral Reefs 18, 281–291. https://doi.org/10.1007/s003380050195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Favia,speciosa,mounding,MD,X-radiography,,0.660,0.11,42,,,,,,2,Japan,"Kurosaki Bay, Iki Island",Southeast Asia,2013,"Seo, I., Lee, Y.I., Watanabe, T., Yamano, H., Shimamura, M., Yoo, C.M. & Hyeong, K. (2013). A skeletal Sr/Ca record preserved in Dipsastraea (Favia) speciosa and implications for coral Sr/Ca thermometry in mid-latitude regions. Geochemistry, Geophysics, Geosystems 14, 2873–2885.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Favia,speciosa,mounding,MD,O2 isotopes,0.63-1.02,0.825,,,,,,,,,Taiwan,"Nanwan, souther Japan",Southeast Asia,1989,Wang & Huang (1989).Acta Oceanographica Taiwanica 24:96-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungia,fungites,free-living,FR,external growth bands; expansion,,1.100,,1,,,,,fringing reef,8,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungia,scutaria,free-living,FR,external growth bands; expansion,0.4-1.4,1.030,0.3,14,,,,,lagoon,,Pacific Remote Islands,Johnston Atoll,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungia,scutaria,free-living,FR,external growth bands; expansion,1.1-2.5,1.650,,28,,,,,lagoon,,Pacific Remote Islands,Johnston Atoll,Central Pacific,1958,"Ma TYH (1958) The relation of growth rate of reef corals to surface temperature of sea water as a basis for study of causes of disastrophisms instigating evolution of life. World Book Co, LTD, Taipei, Taiwan. IN Jokiel and Tyler (1992)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungia,scutaria,free-living,FR,linear extension,0.33-0.59,0.460,,10,,,,,,,Hawaii,"Waikiki Reef, Oahu",Central Pacific,1929,"Edmondson, C.H. (1929). Growth of Hawaiian corals. Bishop Museum Bulletins 58, 1–38.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungia,scutaria,free-living,FR,linear extension,1.12-2.0,1.640,,28,,,,,,,Hawaii,"Waikiki Reef, Oahu",Central Pacific,1929,"Edmondson, C.H. (1929). Growth of Hawaiian corals. Bishop Museum Bulletins 58, 1–38.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goniastrea ,edwardsi,mounding,MD,external growth bands; expansion,,1.250,0.05,,,,,,pinnacle reef top,2-5,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1972,"Knutson, D.W., Buddemeier, R.W. & Smith, S.V. (1972). Coral chronometers: seasonal growth bands in reef corals. Science 177, 270–272.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goniastrea ,edwardsi,mounding,MD,external growth bands; expansion,0.14-1.2,0.797,0.582,3,,,,,fringing reef,1-30,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goniastrea,retiformis,mounding,MD,X-radiography,0.49-0.85,0.680,,10,1.56-1.94,1.700,,10,lagoon,5-17,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1979,"Highsmith, R. C. (1979). Coral growth rates and environmental control of density banding. Journal of Experimental Marine Biology and Ecology, 37(2), 105–125. https://doi.org/10.1016/0022-0981(79)90089-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goniastrea,retiformis,mounding,MD,external growth bands; expansion,,0.780,0.03,,,,,,reef flat,2-5,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1972,"Knutson, D.W., Buddemeier, R.W. & Smith, S.V. (1972). Coral chronometers: seasonal growth bands in reef corals. Science 177, 270–272.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goniastrea,retiformis,mounding,MD,energetics modelling,,,,,1.387-1.491,1.439,,,,,,,,2002,"Anthony, K. R. N., Connolly, S. R., & Willis, B. L. (2002). Comparative analysis of energy allocation to tissue and skeletal growth in corals. Limnology and Oceanography, 47(5), 1417–1429. doi:10.4319/lo.2002.47.5.1417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goniastrea,retiformis,mounding,MD,external growth bands; expansion,0.6-1.0,0.795,0.142,4,,,,,fringing reef,4-10,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goniastrea,aspera,mounding,MD,X-radiography,0.2-0.95,0.410,0.06,26,,,,,fringing reef,1-2,Australia,Magnetic Island,Great Barrier Reef,1988,"Babcock R (1988) Age-structure, survivorship and fecundity in populations of massive corals. Proc 6th int coral Reef Symp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
